dt,hour,expo_HAU,cl_HAU,cart_HAU,buy_HAU
2022-05-25,0,2051,278,1,17
2022-05-26,0,1940,272,2,27
2022-05-27,0,1995,277,3,17
2022-05-28,0,2103,285,3,20
2022-05-29,0,2208,295,4,25
2022-05-30,0,2338,384,1,20
2022-05-31,0,2320,414,3,24
2022-06-01,0,2343,428,7,37
2022-06-03,0,2131,356,4,24
2022-06-04,0,2182,317,4,29
2022-06-05,0,2227,319,2,23
2022-05-26,1,1956,266,4,21
2022-05-27,1,2017,285,2,15
2022-05-28,1,2078,275,3,22
2022-05-29,1,2259,321,2,24
2022-05-30,1,2195,333,5,25
2022-05-31,1,2317,356,3,33
2022-06-01,1,2305,369,5,42
2022-06-02,1,1988,296,4,26
2022-06-03,1,2304,441,1,33
2022-06-05,1,2142,281,2,30
2022-05-25,2,1927,267,3,19
2022-05-27,2,2005,248,4,14
2022-05-28,2,2308,331,1,20
2022-05-29,2,2286,344,3,33
2022-05-30,2,2113,324,2,25
2022-05-31,2,2234,357,3,17
2022-06-01,2,2279,374,1,53
2022-06-02,2,2036,313,5,25
2022-06-03,2,2217,304,1,30
2022-06-04,2,2296,297,6,17
2022-06-05,2,2282,350,2,26
2022-05-25,3,2081,322,1,27
2022-05-26,3,2045,292,2,19
2022-05-27,3,1980,243,1,20
2022-05-28,3,2375,308,5,34
2022-05-30,3,2337,349,1,24
2022-05-31,3,2268,329,1,17
2022-06-01,3,2427,425,5,42
2022-06-02,3,2064,270,2,25
2022-06-03,3,2371,332,2,20
2022-06-04,3,2294,344,3,27
2022-06-05,3,2360,298,3,25
2022-05-25,4,2054,262,2,26
2022-05-26,4,2008,274,1,22
2022-05-27,4,1957,255,2,24
2022-05-29,4,2419,349,2,33
2022-05-30,4,2205,336,2,34
2022-05-31,4,2335,368,1,23
2022-06-01,4,2365,363,6,45
2022-06-02,4,2017,296,2,36
2022-06-03,4,2315,316,1,29
2022-06-04,4,2373,304,4,18
2022-06-05,4,2357,311,2,28
2022-05-25,5,1892,248,3,31
2022-05-26,5,1906,257,2,22
2022-05-28,5,2187,328,3,19
2022-05-29,5,2280,323,3,41
2022-05-30,5,2048,331,4,27
2022-05-31,5,2178,337,1,22
2022-06-01,5,2050,321,2,32
2022-06-02,5,1926,263,3,17
2022-06-03,5,2242,295,3,23
2022-06-04,5,2274,311,3,32
2022-06-05,5,2295,337,2,34
2022-05-25,6,1769,265,5,18
2022-05-27,6,1774,233,5,20
2022-05-28,6,1987,261,4,15
2022-05-29,6,2181,309,1,18
2022-05-31,6,2105,343,2,27
2022-06-01,6,1979,317,2,31
2022-06-02,6,1757,262,3,27
2022-06-03,6,2056,280,3,26
2022-06-04,6,2045,283,1,27
2022-06-05,6,2192,324,2,21
2022-05-25,7,2019,283,1,20
2022-05-26,7,2042,291,1,20
2022-05-27,7,1987,258,1,17
2022-05-28,7,2040,301,3,26
2022-05-29,7,2294,327,1,17
2022-05-30,7,2176,328,1,26
2022-05-31,7,2633,470,2,33
2022-06-01,7,2138,349,1,44
2022-06-02,7,1959,294,1,28
2022-06-03,7,2056,294,3,27
2022-06-04,7,2104,317,3,23
2022-06-05,7,2188,323,4,22
2022-05-25,8,2451,322,1,22
2022-05-26,8,2445,346,2,25
2022-05-27,8,2297,327,5,24
2022-05-28,8,2468,393,3,26
2022-05-29,8,2673,400,6,35
2022-05-30,8,2616,391,7,30
2022-05-31,8,4253,872,5,211
2022-06-02,8,2448,408,1,35
2022-06-03,8,2609,364,2,36
2022-06-04,8,2699,379,3,27
2022-06-05,8,2477,336,3,36
2022-05-25,9,3010,385,1,36
2022-05-26,9,3040,416,5,39
2022-05-27,9,2903,378,6,31
2022-05-29,9,3125,432,8,32
2022-05-30,9,3165,448,4,33
2022-05-31,9,4442,769,8,120
2022-06-01,9,3212,482,5,62
2022-06-02,9,2782,442,3,36
2022-06-03,9,3019,422,2,38
2022-06-04,9,3113,433,2,40
2022-06-05,9,3050,415,3,39
2022-05-25,10,3141,409,1,38
2022-05-26,10,3100,424,3,39
2022-05-27,10,2977,410,5,28
2022-05-28,10,3041,390,5,37
2022-05-29,10,3278,463,2,26
2022-05-30,10,3469,515,3,32
2022-05-31,10,4432,714,7,108
2022-06-01,10,3416,510,3,68
2022-06-02,10,2982,393,6,36
2022-06-03,10,3094,426,3,30
2022-06-04,10,3114,390,3,37
2022-06-05,10,3188,418,1,33
2022-05-25,11,2128,275,4,18
2022-05-26,11,2326,313,2,20
2022-05-27,11,2279,268,5,27
2022-05-28,11,2354,296,1,18
2022-05-29,11,2456,329,1,30
2022-05-30,11,2620,394,5,23
2022-05-31,11,3492,544,3,64
2022-06-01,11,2574,359,6,54
2022-06-02,11,2400,327,1,37
2022-06-03,11,2365,335,9,39
2022-06-04,11,2334,281,2,19
2022-06-05,11,2213,305,2,26
2022-05-25,12,1234,166,2,2
2022-05-27,12,1262,175,2,9
2022-05-29,12,1462,201,2,11
2022-05-30,12,1406,199,3,9
2022-05-31,12,1531,260,1,5
2022-06-01,12,1966,345,5,41
2022-06-02,12,1453,235,3,13
2022-06-04,12,1393,196,3,10
2022-06-05,12,1407,195,2,14
2022-05-27,13,675,100,1,6
2022-05-28,13,748,117,2,4
2022-05-29,13,859,143,2,5
2022-05-30,13,740,135,2,10
2022-05-31,13,737,140,2,8
2022-06-01,13,983,184,2,23
2022-06-02,13,728,112,1,9
2022-06-03,13,717,115,1,7
2022-06-05,13,757,107,2,9
2022-05-25,14,414,66,1,2
2022-05-26,14,378,62,2,8
2022-05-27,14,363,56,1,5
2022-05-28,14,395,74,1,8
2022-05-29,14,477,73,2,4
2022-05-30,14,412,61,1,7
2022-06-01,14,501,89,2,18
2022-06-03,14,389,51,3,6
2022-06-05,14,480,67,2,9
2022-05-25,15,247,43,2,4
2022-05-28,15,262,43,1,4
2022-05-30,15,259,44,1,2
2022-06-01,15,327,60,1,10
2022-06-01,16,297,54,2,7
2022-05-25,17,326,38,2,2
2022-05-28,17,363,50,1,2
2022-05-30,17,340,43,1,1
2022-05-31,17,412,38,1,4
2022-05-25,18,613,79,1,6
2022-05-28,18,695,70,2,4
2022-05-30,18,712,96,2,7
2022-05-31,18,734,114,1,6
2022-06-01,18,880,144,1,17
2022-05-28,19,1083,135,1,8
2022-05-29,19,1051,152,1,11
2022-05-30,19,1020,149,3,7
2022-06-01,19,1335,207,3,21
2022-06-03,19,1036,135,1,9
2022-06-05,19,1045,154,1,15
2022-05-26,20,1321,179,1,13
2022-05-28,20,1381,185,2,12
2022-05-29,20,1438,204,1,16
2022-05-30,20,1404,210,2,15
2022-05-31,20,1585,279,1,13
2022-06-01,20,1763,309,6,32
2022-06-02,20,1444,207,5,14
2022-06-03,20,1427,219,1,15
2022-06-04,20,1453,183,1,16
2022-06-05,20,1390,186,2,14
2022-05-26,21,1686,257,2,18
2022-05-29,21,1975,293,1,28
2022-05-30,21,1931,315,1,22
2022-05-31,21,2101,319,4,15
2022-06-01,21,2168,373,9,42
2022-06-02,21,1787,277,4,25
2022-06-03,21,1828,278,1,20
2022-06-05,21,1873,278,2,17
2022-05-26,22,2036,290,3,18
2022-05-27,22,2067,279,2,26
2022-05-28,22,2083,313,3,19
2022-05-29,22,2312,338,3,20
2022-05-30,22,2237,362,5,26
2022-05-31,22,2309,369,1,30
2022-06-01,22,2292,390,5,59
2022-06-02,22,2128,340,4,38
2022-06-03,22,2053,297,1,31
2022-06-05,22,2186,299,1,24
2022-05-25,23,1995,294,4,22
2022-05-26,23,1934,262,3,21
2022-05-27,23,2064,304,2,24
2022-05-28,23,2139,298,4,18
2022-05-29,23,2268,316,4,20
2022-05-30,23,2241,349,2,14
2022-05-31,23,2300,357,4,23
2022-06-01,23,2446,432,5,66
2022-06-02,23,2084,318,1,27
2022-06-04,23,2233,300,2,23
2022-06-05,23,2176,276,1,14
