hour,expo_HAU,cl_HAU,cart_HAU,buy_HAU
0,25813,3959,34,291
1,25616,3822,31,316
2,25938,3728,31,295
3,27017,3875,26,320
4,26768,3782,25,332
5,25099,3599,29,321
6,23674,3480,28,264
7,25620,3830,22,301
8,31989,4936,38,555
9,37730,5394,47,541
10,39207,5452,42,510
11,29524,4017,41,373
12,17075,2499,23,142
13,8948,1448,15,98
14,5087,767,15,77
15,3229,487,7,36
16,2798,394,5,25
17,4377,587,5,35
18,8284,1123,7,64
19,12687,1776,10,122
20,17278,2523,22,175
21,22764,3389,24,256
22,25915,3829,28,318
23,25994,3825,32,308
