cohort_date,d1_retention_rate,d2_retention_rate,d3_retention_rate,d4_retention_rate,d5_retention_rate,d6_retention_rate,d7_retention_rate,d8_retention_rate,d9_retention_rate,d10_retention_rate,d11_retention_rate
2022-05-25,0.10480%,0.12052%,0.07860%,0.09694%,0.09170%,0.10742%,0.07074%,0.05764%,0.05240%,0.07074%,0.07074%
2022-05-26,0.15439%,0.08635%,0.08112%,0.09159%,0.13346%,0.08112%,0.07850%,0.05495%,0.06804%,0.07850%,0.00000%
2022-05-27,0.10558%,0.10294%,0.10294%,0.10294%,0.09766%,0.07127%,0.04751%,0.06599%,0.07391%,0.00000%,0.00000%
2022-05-28,0.15500%,0.10579%,0.10579%,0.08365%,0.08119%,0.06643%,0.07381%,0.06397%,0.00000%,0.00000%,0.00000%
2022-05-29,0.13489%,0.10698%,0.08838%,0.08372%,0.06977%,0.08605%,0.07442%,0.00000%,0.00000%,0.00000%,0.00000%
2022-05-30,0.15031%,0.13838%,0.11214%,0.06442%,0.08589%,0.06919%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%
2022-05-31,0.14451%,0.09909%,0.07845%,0.06812%,0.07638%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%
2022-06-01,0.13434%,0.10747%,0.09628%,0.08732%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%
2022-06-02,0.12420%,0.10350%,0.06727%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%
2022-06-03,0.12684%,0.07562%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%
2022-06-04,0.09423%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%
2022-06-05,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%,0.00000%
