cohort_date,corhort_size,day1_retained_users,day2_retained_users,day3_retained_users,day4_retained_users,day5_retained_users,day6_retained_users,day7_retained_users,day8_retained_users,day9_retained_users,day10_retained_users,day11_retained_users
2022-05-25,38169,40,46,30,37,35,41,27,22,20,27,27
2022-05-26,38215,59,33,31,35,51,31,30,21,26,30,0
2022-05-27,37886,40,39,39,39,37,27,18,25,28,0,0
2022-05-28,40645,63,43,43,34,33,27,30,26,0,0,0
2022-05-29,42998,58,46,38,36,30,37,32,0,0,0,0
2022-05-30,41913,63,58,47,27,36,29,0,0,0,0,0
2022-05-31,48441,70,48,38,33,37,0,0,0,0,0,0
2022-06-01,44662,60,48,43,39,0,0,0,0,0,0,0
2022-06-02,38648,48,40,26,0,0,0,0,0,0,0,0
2022-06-03,40997,52,31,0,0,0,0,0,0,0,0,0
2022-06-04,41390,39,0,0,0,0,0,0,0,0,0,0
2022-06-05,41402,0,0,0,0,0,0,0,0,0,0,0
